close,timestamp,exchange,expiry,high,low,open,oi,type,instrument,volume
12780,30/01/13 12:38,NFO,31-Jan-13,12782.9,12779.8,12781,858775,Futures,CNXBAN,2475
12778.1,30/01/13 12:39,NFO,31-Jan-13,12782.95,12778.1,12779.9,858775,Futures,CNXBAN,1500
12776.25,30/01/13 12:40,NFO,31-Jan-13,12779,12775.05,12778.05,860000,Futures,CNXBAN,2050
12773.2,30/01/13 12:41,NFO,31-Jan-13,12777.8,12773,12776.25,860000,Futures,CNXBAN,1975
12762.85,30/01/13 12:42,NFO,31-Jan-13,12773.1,12762.85,12772.1,860000,Futures,CNXBAN,6000
12765.1,30/01/13 12:43,NFO,31-Jan-13,12765.1,12761.4,12763.8,861525,Futures,CNXBAN,2600
12771,30/01/13 12:44,NFO,31-Jan-13,12771,12765.1,12765.1,861525,Futures,CNXBAN,775
12767.35,30/01/13 12:45,NFO,31-Jan-13,12771,12767.35,12770,861525,Futures,CNXBAN,2525
12768,30/01/13 12:46,NFO,31-Jan-13,12771,12767.7,12768,861125,Futures,CNXBAN,1000
12772.8,30/01/13 12:47,NFO,31-Jan-13,12774.95,12768,12768,861125,Futures,CNXBAN,1375
12770.1,30/01/13 12:48,NFO,31-Jan-13,12772.8,12770.1,12772.8,861125,Futures,CNXBAN,1225
12770.45,30/01/13 12:49,NFO,31-Jan-13,12772.55,12770.1,12770.1,861450,Futures,CNXBAN,1450
12770.25,30/01/13 12:50,NFO,31-Jan-13,12773.55,12768.6,12770.45,861450,Futures,CNXBAN,2875
12771.5,30/01/13 12:51,NFO,31-Jan-13,12774.95,12770.8,12772.65,861450,Futures,CNXBAN,1200
12768.95,30/01/13 12:52,NFO,31-Jan-13,12772.8,12768.75,12771.5,861800,Futures,CNXBAN,1225
12771.15,30/01/13 12:53,NFO,31-Jan-13,12774.55,12768.1,12768.95,861800,Futures,CNXBAN,2450
12774.3,30/01/13 12:54,NFO,31-Jan-13,12774.3,12770.25,12771.15,861800,Futures,CNXBAN,975
12775,30/01/13 12:55,NFO,31-Jan-13,12775,12771.3,12774.3,862475,Futures,CNXBAN,1600
12784.5,30/01/13 12:56,NFO,31-Jan-13,12784.5,12773.15,12775,862475,Futures,CNXBAN,2675
12785,30/01/13 12:57,NFO,31-Jan-13,12785,12777.35,12784.5,862475,Futures,CNXBAN,1375
12785,30/01/13 12:58,NFO,31-Jan-13,12785,12778.1,12785,864375,Futures,CNXBAN,3825
12782.1,30/01/13 12:59,NFO,31-Jan-13,12788,12782.1,12785,864375,Futures,CNXBAN,2575
12784.9,30/01/13 13:00,NFO,31-Jan-13,12785,12780.9,12782.1,864375,Futures,CNXBAN,1600
12792,30/01/13 13:01,NFO,31-Jan-13,12792,12784.5,12784.9,867525,Futures,CNXBAN,5025
12798.65,30/01/13 13:02,NFO,31-Jan-13,12799,12792.6,12792.6,867525,Futures,CNXBAN,9625
12795,30/01/13 13:03,NFO,31-Jan-13,12800,12794.2,12798.65,867525,Futures,CNXBAN,4925
12786.85,30/01/13 13:04,NFO,31-Jan-13,12795.05,12786.85,12795.05,867575,Futures,CNXBAN,3050
12789.95,30/01/13 13:05,NFO,31-Jan-13,12794,12786.85,12786.85,867575,Futures,CNXBAN,3125
12791,30/01/13 13:06,NFO,31-Jan-13,12791,12787.5,12788,867575,Futures,CNXBAN,1475
12789.95,30/01/13 13:07,NFO,31-Jan-13,12791,12785,12791,861875,Futures,CNXBAN,4125
12789.9,30/01/13 13:08,NFO,31-Jan-13,12791,12785.6,12789.95,861875,Futures,CNXBAN,800
12790,30/01/13 13:09,NFO,31-Jan-13,12791.9,12787.2,12789.9,861875,Futures,CNXBAN,700
12789.55,30/01/13 13:10,NFO,31-Jan-13,12790,12786.05,12790,860525,Futures,CNXBAN,2750
12786.1,30/01/13 13:11,NFO,31-Jan-13,12789,12785.35,12786,860525,Futures,CNXBAN,1125
12785.35,30/01/13 13:12,NFO,31-Jan-13,12788,12785,12786.1,860525,Futures,CNXBAN,3300
12786.1,30/01/13 13:13,NFO,31-Jan-13,12789.55,12785.35,12785.35,861925,Futures,CNXBAN,875
12785,30/01/13 13:14,NFO,31-Jan-13,12789.85,12783.85,12786.1,861925,Futures,CNXBAN,1150
12780,30/01/13 13:15,NFO,31-Jan-13,12786,12779.05,12785,861925,Futures,CNXBAN,1975
12775.3,30/01/13 13:16,NFO,31-Jan-13,12780,12774.25,12780,860750,Futures,CNXBAN,2925
12782.7,30/01/13 13:17,NFO,31-Jan-13,12783.3,12775.3,12775.3,860750,Futures,CNXBAN,1150
12787,30/01/13 13:18,NFO,31-Jan-13,12788,12779.3,12782.7,860750,Futures,CNXBAN,3375
12782,30/01/13 13:19,NFO,31-Jan-13,12787.3,12781.5,12787,863700,Futures,CNXBAN,1550
12783,30/01/13 13:20,NFO,31-Jan-13,12785,12783,12783,863700,Futures,CNXBAN,1825
12779.15,30/01/13 13:21,NFO,31-Jan-13,12783.85,12779.15,12783,863700,Futures,CNXBAN,750
12780,30/01/13 13:22,NFO,31-Jan-13,12784.5,12779.15,12779.15,867625,Futures,CNXBAN,4450
12792.65,30/01/13 13:23,NFO,31-Jan-13,12796.6,12780,12780,867625,Futures,CNXBAN,12150
12795,30/01/13 13:24,NFO,31-Jan-13,12798.4,12792.3,12792.65,867625,Futures,CNXBAN,2525
12794,30/01/13 13:25,NFO,31-Jan-13,12798,12791.45,12795,869025,Futures,CNXBAN,1925
12785.55,30/01/13 13:26,NFO,31-Jan-13,12794,12785,12794,869025,Futures,CNXBAN,1475
12776.3,30/01/13 13:27,NFO,31-Jan-13,12786.95,12776.3,12785.55,869025,Futures,CNXBAN,3025
12780.9,30/01/13 13:28,NFO,31-Jan-13,12783.8,12775.75,12778.15,872525,Futures,CNXBAN,1500
12786,30/01/13 13:29,NFO,31-Jan-13,12786,12778.3,12780.9,872525,Futures,CNXBAN,2175
12780.3,30/01/13 13:30,NFO,31-Jan-13,12786,12779.4,12786,872525,Futures,CNXBAN,1200
12780.05,30/01/13 13:31,NFO,31-Jan-13,12780.95,12777,12780.3,873250,Futures,CNXBAN,3050
12781.05,30/01/13 13:32,NFO,31-Jan-13,12783.35,12777.3,12780.05,873250,Futures,CNXBAN,1950
12779.55,30/01/13 13:33,NFO,31-Jan-13,12782.25,12778.85,12781.05,873250,Futures,CNXBAN,1325
12775,30/01/13 13:34,NFO,31-Jan-13,12779.55,12775,12779.55,870900,Futures,CNXBAN,1750
12764,30/01/13 13:35,NFO,31-Jan-13,12775,12762.1,12775,870900,Futures,CNXBAN,10250
12770,30/01/13 13:36,NFO,31-Jan-13,12770,12761.95,12761.95,870900,Futures,CNXBAN,3775
12769.2,30/01/13 13:37,NFO,31-Jan-13,12772,12769.2,12770,867625,Futures,CNXBAN,1975
12769.5,30/01/13 13:38,NFO,31-Jan-13,12770,12767.3,12768.35,867625,Futures,CNXBAN,875
12766,30/01/13 13:39,NFO,31-Jan-13,12770,12764.2,12769.5,867625,Futures,CNXBAN,1575
12768.9,30/01/13 13:40,NFO,31-Jan-13,12768.9,12764,12766,867300,Futures,CNXBAN,1025
12768,30/01/13 13:41,NFO,31-Jan-13,12770,12767.15,12768.9,867300,Futures,CNXBAN,1575
12768.95,30/01/13 13:42,NFO,31-Jan-13,12769.25,12763.6,12768,867300,Futures,CNXBAN,2600
12769,30/01/13 13:43,NFO,31-Jan-13,12769,12765.3,12765.6,861425,Futures,CNXBAN,1850
12778,30/01/13 13:44,NFO,31-Jan-13,12779,12769,12769,861425,Futures,CNXBAN,2050
12780,30/01/13 13:45,NFO,31-Jan-13,12784.5,12778,12778.5,861425,Futures,CNXBAN,4425
12776.8,30/01/13 13:46,NFO,31-Jan-13,12783,12773.1,12780,862325,Futures,CNXBAN,4675
12775,30/01/13 13:47,NFO,31-Jan-13,12778,12774.65,12776.8,862325,Futures,CNXBAN,525
12781,30/01/13 13:48,NFO,31-Jan-13,12783,12775,12775,862325,Futures,CNXBAN,1300
12802,30/01/13 13:49,NFO,31-Jan-13,12804.85,12781,12781,861700,Futures,CNXBAN,9375
12810.05,30/01/13 13:50,NFO,31-Jan-13,12816.3,12797.6,12801,861700,Futures,CNXBAN,26900
12805,30/01/13 13:51,NFO,31-Jan-13,12810.95,12805,12810,861700,Futures,CNXBAN,8475
12801.55,30/01/13 13:52,NFO,31-Jan-13,12805,12801.5,12805,857075,Futures,CNXBAN,6575
12800,30/01/13 13:53,NFO,31-Jan-13,12804.95,12799,12801.55,857075,Futures,CNXBAN,2125
12790,30/01/13 13:54,NFO,31-Jan-13,12800,12788,12800,857075,Futures,CNXBAN,3100
12794,30/01/13 13:55,NFO,31-Jan-13,12797.35,12789.9,12790,858200,Futures,CNXBAN,2850
12795.9,30/01/13 13:56,NFO,31-Jan-13,12797.2,12793.05,12794,858200,Futures,CNXBAN,2100
12793.3,30/01/13 13:57,NFO,31-Jan-13,12796.9,12793,12795.9,858200,Futures,CNXBAN,700
